loan_id,loan_amount,credit_rating,tenure_years,interest_rate,sector,borrower_income,ltv_ratio,dti_ratio,PD,LGD,EAD,Expected_Loss,risk_weighted_ead,downgrade_risk,watchlist_reason
20,500000,BBB,5,11.39,Corporate,944714,0.622,0.164,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
21,1000000,BB,5,15.73,Retail,422420,0.72,0.428,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
22,1000000,A,3,10.69,Retail,720420,0.67,0.557,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
23,250000,B,2,21.21,Retail,1869662,0.671,0.094,0.152,0.65,250000,24700.0,564500.0,False,Performing
24,50000,BB,10,16.09,Agri,787867,0.871,0.121,0.063,0.55,50000,1732.5,90100.0,False,Performing
25,1000000,BB,2,15.95,Retail,1727813,0.859,0.335,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
26,250000,AA,10,9.87,Retail,673357,0.485,0.171,0.002,0.25,250000,125.0,314500.0,False,Performing
27,250000,BBB,5,12.67,Agri,770136,0.893,0.278,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
28,100000,AAA,5,9.56,Retail,892733,0.519,0.274,0.001,0.2,100000,20.0,120400.0,False,Performing
29,500000,AA,3,9.23,Real Estate,1878915,0.556,0.215,0.002,0.25,500000,250.0,629000.0,False,Performing
30,250000,BBB,7,13.63,Corporate,1127540,0.743,0.141,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
31,100000,BB,10,16.99,MSME,630118,0.793,0.091,0.063,0.55,100000,3465.0,180200.0,False,Performing
32,500000,B,5,20.44,Corporate,1702645,0.834,0.13,0.152,0.65,500000,49400.0,1129000.0,True,Weak rating with high leverage / repayment pressure
33,1000000,A,5,10.29,Corporate,1798220,0.543,0.175,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
34,250000,A,5,10.51,Retail,1644694,0.595,0.215,0.007,0.35,250000,612.5,344500.0,False,Performing
35,500000,BBB,1,13.4,Agri,1513140,0.724,0.421,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
36,500000,AA,10,9.92,Agri,868378,0.632,0.276,0.002,0.25,500000,250.0,629000.0,False,Performing
37,250000,AA,1,9.81,Real Estate,2956919,0.68,0.148,0.002,0.25,250000,125.0,314500.0,False,Performing
38,250000,BBB,5,11.14,Corporate,1202429,0.658,0.145,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
39,100000,AA,3,9.38,MSME,1664652,0.571,0.067,0.002,0.25,100000,50.0,125800.0,False,Performing
40,250000,BBB,7,12.4,MSME,1592076,0.642,0.159,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
41,1000000,A,5,10.14,Retail,780408,0.718,0.356,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
42,100000,BB,5,17.05,MSME,3604663,0.735,0.114,0.063,0.55,100000,3465.0,180200.0,False,Performing
43,1000000,BB,1,17.78,Corporate,1181309,0.713,0.75,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
44,100000,A,3,10.24,Corporate,1376404,0.635,0.162,0.007,0.35,100000,245.0,137800.0,False,Performing
45,250000,BB,2,18.18,Retail,944651,0.626,0.276,0.063,0.55,250000,8662.5,450500.0,False,Performing
46,500000,BB,10,15.73,MSME,2338022,0.803,0.173,0.063,0.55,500000,17325.0,901000.0,False,Performing
47,1000000,A,2,11.49,Corporate,2695446,0.605,0.248,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
48,100000,A,10,11.13,MSME,1479811,0.851,0.133,0.007,0.35,100000,245.0,137800.0,False,Performing
49,100000,BBB,2,13.22,Agri,544856,0.646,0.177,0.022,0.45,100000,989.9999999999999,153800.0,False,Performing
50,500000,AA,7,10.02,Corporate,1295353,0.544,0.232,0.002,0.25,500000,250.0,629000.0,False,Performing
51,250000,AA,5,8.46,Retail,1372285,0.646,0.159,0.002,0.25,250000,125.0,314500.0,False,Performing
52,500000,AAA,7,9.19,Retail,1154319,0.563,0.187,0.001,0.2,500000,100.0,602000.0,False,Performing
53,1000000,BB,5,16.16,Corporate,678405,0.843,0.391,0.063,0.55,1000000,34650.0,1802000.0,True,Weak rating with high leverage / repayment pressure
54,50000,BBB,7,12.41,MSME,517620,0.673,0.083,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
55,1000000,BB,5,15.73,Real Estate,2816751,0.668,0.185,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
56,50000,BB,3,17.85,Retail,1844941,0.96,0.18,0.063,0.55,50000,1732.5,90100.0,False,Performing
57,1000000,BBB,10,13.77,Retail,1300732,0.736,0.148,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
58,1000000,BBB,5,12.55,MSME,874658,0.713,0.405,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
59,500000,AA,2,9.3,Corporate,1755995,0.629,0.281,0.002,0.25,500000,250.0,629000.0,False,Performing
60,1000000,AA,3,9.35,Agri,1604107,0.461,0.216,0.002,0.25,1000000,500.0,1258000.0,False,Performing
61,1000000,BBB,5,12.86,Real Estate,1010331,0.658,0.262,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
62,50000,BBB,7,13.78,MSME,1598339,0.612,0.229,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
63,50000,BBB,7,12.63,Real Estate,1716228,0.708,0.108,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
64,50000,BB,3,14.64,Retail,1787804,0.65,0.074,0.063,0.55,50000,1732.5,90100.0,False,Performing
65,500000,BBB,5,13.18,MSME,761722,0.749,0.198,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
66,500000,BBB,1,13.1,Agri,1637345,0.79,0.409,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
67,500000,BBB,3,12.46,MSME,2524231,0.787,0.222,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
68,500000,A,7,10.08,Agri,1603194,0.665,0.138,0.007,0.35,500000,1225.0,689000.0,False,Performing
69,500000,AAA,2,7.5,Retail,5399070,0.515,0.118,0.001,0.2,500000,100.0,602000.0,False,Performing
70,50000,A,3,10.29,Retail,1215889,0.597,0.02,0.007,0.35,50000,122.5,68900.0,False,Performing
71,250000,AA,1,8.42,MSME,526182,0.601,0.54,0.002,0.25,250000,125.0,314500.0,False,Performing
72,1000000,A,1,11.66,Agri,825096,0.621,0.75,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
73,250000,BB,2,16.94,Retail,813935,0.61,0.28,0.063,0.55,250000,8662.5,450500.0,False,Performing
74,250000,AA,2,8.95,Real Estate,1970225,0.516,0.194,0.002,0.25,250000,125.0,314500.0,False,Performing
75,100000,AAA,5,8.54,Retail,2430087,0.563,0.19,0.001,0.2,100000,20.0,120400.0,False,Performing
76,1000000,A,7,10.35,Corporate,1460888,0.54,0.148,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
77,250000,A,2,10.53,MSME,1599690,0.538,0.195,0.007,0.35,250000,612.5,344500.0,False,Performing
78,500000,BBB,7,12.75,Retail,3871685,0.679,0.136,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
79,50000,BBB,5,14.15,Corporate,787347,0.521,0.073,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
80,50000,BB,2,16.89,Corporate,1150336,0.818,0.177,0.063,0.55,50000,1732.5,90100.0,False,Performing
81,500000,BBB,3,12.71,MSME,980729,0.746,0.365,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
82,500000,A,2,11.36,Retail,683355,0.706,0.477,0.007,0.35,500000,1225.0,689000.0,False,Performing
83,500000,BB,7,17.23,Retail,370784,0.778,0.279,0.063,0.55,500000,17325.0,901000.0,False,Performing
84,250000,AA,5,9.46,Agri,3022697,0.497,0.201,0.002,0.25,250000,125.0,314500.0,False,Performing
85,1000000,AAA,3,7.66,Corporate,962933,0.402,0.478,0.001,0.2,1000000,200.0,1204000.0,False,Performing
86,500000,AAA,1,8.12,Real Estate,1297237,0.544,0.435,0.001,0.2,500000,100.0,602000.0,False,Performing
87,1000000,BB,2,15.43,Corporate,1540434,0.817,0.425,0.063,0.55,1000000,34650.0,1802000.0,True,Weak rating with high leverage / repayment pressure
88,100000,BBB,5,13.31,Real Estate,639384,0.606,0.123,0.022,0.45,100000,989.9999999999999,153800.0,False,Performing
89,250000,AA,2,8.48,Retail,878281,0.465,0.21,0.002,0.25,250000,125.0,314500.0,False,Performing
90,250000,BBB,5,12.59,MSME,1259020,0.693,0.11,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
91,1000000,AA,5,9.37,Corporate,1105136,0.576,0.258,0.002,0.25,1000000,500.0,1258000.0,False,Performing
92,1000000,BBB,5,14.23,Retail,608308,0.77,0.479,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
93,500000,A,2,10.92,Retail,1919899,0.683,0.225,0.007,0.35,500000,1225.0,689000.0,False,Performing
94,50000,A,5,10.35,Corporate,1031328,0.624,0.124,0.007,0.35,50000,122.5,68900.0,False,Performing
95,100000,A,5,10.94,Real Estate,1461436,0.713,0.172,0.007,0.35,100000,245.0,137800.0,False,Performing
96,50000,BBB,7,13.61,Corporate,1317804,0.667,0.1,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
97,1000000,A,5,10.93,Retail,2369029,0.605,0.134,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
98,250000,AAA,3,8.5,Agri,1840882,0.568,0.202,0.001,0.2,250000,50.0,301000.0,False,Performing
99,100000,AA,2,9.22,Retail,864041,0.642,0.149,0.002,0.25,100000,50.0,125800.0,False,Performing
100,250000,B,5,18.79,Retail,2207504,0.904,0.222,0.152,0.65,250000,24700.0,564500.0,True,Weak rating with high leverage / repayment pressure
101,50000,B,5,20.57,Agri,854943,0.811,0.172,0.152,0.65,50000,4940.0,112900.0,True,Weak rating with high leverage / repayment pressure
102,1000000,BBB,5,12.42,Real Estate,795255,0.701,0.388,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
103,250000,A,5,11.18,Agri,772696,0.561,0.186,0.007,0.35,250000,612.5,344500.0,False,Performing
104,1000000,B,7,19.74,Real Estate,300000,0.897,0.642,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
105,500000,BB,7,16.84,Corporate,843162,0.713,0.207,0.063,0.55,500000,17325.0,901000.0,False,Performing
106,500000,BB,3,16.37,Retail,1510413,0.6,0.112,0.063,0.55,500000,17325.0,901000.0,False,Performing
107,500000,A,2,9.63,Retail,612761,0.595,0.513,0.007,0.35,500000,1225.0,689000.0,False,Performing
108,500000,A,10,10.59,Agri,3636760,0.562,0.152,0.007,0.35,500000,1225.0,689000.0,False,Performing
109,500000,AAA,5,10.34,Real Estate,408964,0.35,0.304,0.001,0.2,500000,100.0,602000.0,False,Performing
110,50000,B,10,18.23,MSME,714287,0.779,0.247,0.152,0.65,50000,4940.0,112900.0,True,Weak rating with high leverage / repayment pressure
111,1000000,BBB,5,13.1,MSME,538037,0.758,0.474,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
112,250000,AA,10,8.14,Retail,2426995,0.598,0.148,0.002,0.25,250000,125.0,314500.0,False,Performing
113,250000,A,2,11.77,Retail,1971021,0.663,0.232,0.007,0.35,250000,612.5,344500.0,False,Performing
114,250000,BBB,5,13.85,Real Estate,1092691,0.809,0.186,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
115,500000,AA,5,9.16,Retail,624715,0.519,0.265,0.002,0.25,500000,250.0,629000.0,False,Performing
116,250000,BB,1,17.44,MSME,598824,0.668,0.548,0.063,0.55,250000,8662.5,450500.0,False,Performing
117,250000,BB,2,16.95,Agri,1387237,0.8,0.19,0.063,0.55,250000,8662.5,450500.0,False,Performing
118,50000,BB,2,16.67,MSME,810714,0.789,0.136,0.063,0.55,50000,1732.5,90100.0,False,Performing
119,250000,A,1,10.25,MSME,974452,0.529,0.309,0.007,0.35,250000,612.5,344500.0,False,Performing
120,100000,BBB,10,12.49,Retail,1221608,0.681,0.105,0.022,0.45,100000,989.9999999999999,153800.0,False,Performing
121,1000000,BBB,10,12.41,Retail,1003658,0.738,0.149,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
122,250000,BBB,7,12.81,Retail,462154,0.717,0.187,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
123,1000000,AAA,10,7.5,Retail,693188,0.559,0.234,0.001,0.2,1000000,200.0,1204000.0,False,Performing
124,500000,A,7,11.48,Retail,632694,0.576,0.248,0.007,0.35,500000,1225.0,689000.0,False,Performing
125,1000000,AAA,10,9.75,Retail,983627,0.387,0.137,0.001,0.2,1000000,200.0,1204000.0,False,Performing
126,1000000,BBB,2,12.43,Retail,1343396,0.622,0.436,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
127,250000,A,3,11.6,Retail,1388842,0.699,0.124,0.007,0.35,250000,612.5,344500.0,False,Performing
128,500000,AA,7,9.13,Agri,2836008,0.648,0.134,0.002,0.25,500000,250.0,629000.0,False,Performing
129,50000,AA,5,8.49,Retail,630083,0.552,0.114,0.002,0.25,50000,25.0,62900.0,False,Performing
130,100000,BBB,5,12.64,MSME,1522977,0.816,0.178,0.022,0.45,100000,989.9999999999999,153800.0,False,Performing
131,250000,AA,5,9.43,Real Estate,902975,0.552,0.167,0.002,0.25,250000,125.0,314500.0,False,Performing
132,500000,B,3,19.39,Retail,3538080,0.784,0.157,0.152,0.65,500000,49400.0,1129000.0,True,Weak rating with high leverage / repayment pressure
133,1000000,BBB,3,13.48,MSME,1199040,0.582,0.335,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
134,250000,A,5,10.52,Real Estate,974701,0.624,0.147,0.007,0.35,250000,612.5,344500.0,False,Performing
135,1000000,BBB,5,12.05,MSME,1494872,0.78,0.177,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
136,250000,AAA,3,8.08,Retail,1681627,0.601,0.184,0.001,0.2,250000,50.0,301000.0,False,Performing
137,50000,B,5,19.25,Corporate,902501,0.911,0.163,0.152,0.65,50000,4940.0,112900.0,True,Weak rating with high leverage / repayment pressure
138,50000,BBB,3,12.36,Corporate,1799354,0.735,0.044,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
139,500000,BB,5,16.61,MSME,2881590,0.888,0.147,0.063,0.55,500000,17325.0,901000.0,False,Performing
140,500000,AAA,5,7.5,Retail,2554878,0.423,0.144,0.001,0.2,500000,100.0,602000.0,False,Performing
141,250000,BBB,5,14.04,Retail,1169511,0.79,0.213,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
142,50000,BBB,10,13.85,Real Estate,3573019,0.717,0.061,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
143,500000,B,5,19.46,Retail,1487958,0.842,0.139,0.152,0.65,500000,49400.0,1129000.0,True,Weak rating with high leverage / repayment pressure
144,1000000,BBB,10,12.78,Retail,674534,0.581,0.271,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
145,50000,BBB,7,13.5,MSME,1316260,0.722,0.091,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
146,500000,A,7,11.02,Agri,1190516,0.722,0.148,0.007,0.35,500000,1225.0,689000.0,False,Performing
147,500000,A,7,12.2,Retail,986192,0.46,0.16,0.007,0.35,500000,1225.0,689000.0,False,Performing
148,500000,BBB,5,12.6,Retail,1530020,0.759,0.201,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
149,50000,A,5,11.77,MSME,453971,0.447,0.189,0.007,0.35,50000,122.5,68900.0,False,Performing
150,1000000,AAA,5,7.5,Corporate,3801043,0.387,0.158,0.001,0.2,1000000,200.0,1204000.0,False,Performing
151,500000,BB,2,15.66,MSME,1711286,0.752,0.243,0.063,0.55,500000,17325.0,901000.0,False,Performing
152,250000,BB,3,18.29,Real Estate,412430,0.887,0.345,0.063,0.55,250000,8662.5,450500.0,False,Performing
153,1000000,AA,1,8.63,Retail,2018229,0.555,0.616,0.002,0.25,1000000,500.0,1258000.0,False,Performing
154,1000000,BBB,5,11.97,MSME,1648789,0.733,0.239,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
155,500000,AA,2,9.12,MSME,3333574,0.492,0.242,0.002,0.25,500000,250.0,629000.0,False,Performing
156,1000000,BBB,5,14.03,MSME,3465615,0.679,0.114,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
157,100000,A,2,10.11,MSME,4046183,0.626,0.109,0.007,0.35,100000,245.0,137800.0,False,Performing
158,1000000,BBB,1,13.12,Real Estate,1085269,0.825,0.75,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
159,250000,BB,5,14.92,Retail,1642130,0.7,0.114,0.063,0.55,250000,8662.5,450500.0,False,Performing
160,1000000,BB,7,15.94,Corporate,908191,0.707,0.204,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
161,250000,AA,3,9.85,Retail,2513460,0.651,0.124,0.002,0.25,250000,125.0,314500.0,False,Performing
162,50000,B,10,19.49,MSME,321146,0.805,0.144,0.152,0.65,50000,4940.0,112900.0,True,Weak rating with high leverage / repayment pressure
163,250000,AA,1,8.08,MSME,680068,0.574,0.346,0.002,0.25,250000,125.0,314500.0,False,Performing
164,1000000,AAA,5,7.6,MSME,1166279,0.535,0.265,0.001,0.2,1000000,200.0,1204000.0,False,Performing
165,500000,BBB,2,12.28,Retail,1231241,0.644,0.309,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
166,1000000,A,3,11.49,Agri,1484265,0.466,0.321,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
167,50000,BB,1,17.06,Agri,2512923,0.846,0.046,0.063,0.55,50000,1732.5,90100.0,False,Performing
168,100000,BB,1,17.35,Real Estate,823063,0.769,0.279,0.063,0.55,100000,3465.0,180200.0,False,Performing
169,500000,A,5,10.98,Real Estate,638047,0.528,0.314,0.007,0.35,500000,1225.0,689000.0,False,Performing
170,250000,B,5,19.47,Retail,898531,0.887,0.223,0.152,0.65,250000,24700.0,564500.0,True,Weak rating with high leverage / repayment pressure
171,500000,A,2,10.1,MSME,949890,0.791,0.345,0.007,0.35,500000,1225.0,689000.0,False,Performing
172,1000000,BBB,7,13.17,Retail,1757351,0.79,0.2,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
173,500000,A,5,12.31,Real Estate,3269396,0.796,0.104,0.007,0.35,500000,1225.0,689000.0,False,Performing
174,250000,B,3,19.2,Retail,2585935,0.727,0.089,0.152,0.65,250000,24700.0,564500.0,False,Performing
175,500000,AA,3,8.13,Retail,2680621,0.585,0.116,0.002,0.25,500000,250.0,629000.0,False,Performing
176,1000000,AAA,3,7.5,Corporate,1078018,0.528,0.429,0.001,0.2,1000000,200.0,1204000.0,False,Performing
177,500000,A,7,11.31,Retail,1229114,0.621,0.21,0.007,0.35,500000,1225.0,689000.0,False,Performing
178,1000000,B,5,19.8,Corporate,1439156,0.799,0.313,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
179,250000,BB,2,16.97,Retail,767481,0.523,0.27,0.063,0.55,250000,8662.5,450500.0,False,Performing
180,1000000,BB,2,15.91,Corporate,810090,0.895,0.693,0.063,0.55,1000000,34650.0,1802000.0,True,Weak rating with high leverage / repayment pressure
181,100000,BB,3,17.39,Real Estate,1491102,0.631,0.128,0.063,0.55,100000,3465.0,180200.0,False,Performing
182,1000000,BB,3,16.1,Corporate,543867,0.832,0.75,0.063,0.55,1000000,34650.0,1802000.0,True,Weak rating with high leverage / repayment pressure
183,1000000,BBB,5,11.49,Retail,2402853,0.696,0.274,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
184,1000000,A,10,11.38,Retail,1069531,0.628,0.262,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
185,100000,BB,3,16.47,Retail,1641881,0.744,0.184,0.063,0.55,100000,3465.0,180200.0,False,Performing
186,1000000,BBB,3,12.54,Retail,1437490,0.711,0.41,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
187,100000,A,1,11.0,MSME,2794168,0.681,0.149,0.007,0.35,100000,245.0,137800.0,False,Performing
188,500000,AAA,3,7.5,MSME,436537,0.576,0.506,0.001,0.2,500000,100.0,602000.0,False,Performing
189,500000,BB,5,16.87,Retail,2492727,0.75,0.203,0.063,0.55,500000,17325.0,901000.0,False,Performing
190,500000,A,10,10.09,Retail,2768228,0.534,0.154,0.007,0.35,500000,1225.0,689000.0,False,Performing
191,250000,B,5,20.11,Agri,1324314,0.726,0.191,0.152,0.65,250000,24700.0,564500.0,False,Performing
192,500000,AA,2,9.97,Retail,1928091,0.648,0.209,0.002,0.25,500000,250.0,629000.0,False,Performing
193,500000,AA,7,9.55,Retail,2013894,0.543,0.215,0.002,0.25,500000,250.0,629000.0,False,Performing
194,500000,BB,7,16.51,MSME,711548,0.678,0.185,0.063,0.55,500000,17325.0,901000.0,False,Performing
195,500000,AA,2,8.91,Retail,1470457,0.506,0.336,0.002,0.25,500000,250.0,629000.0,False,Performing
196,500000,AA,10,7.5,Agri,2387821,0.557,0.126,0.002,0.25,500000,250.0,629000.0,False,Performing
197,250000,BBB,5,12.1,Retail,452090,0.592,0.194,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
198,50000,BB,7,16.48,Corporate,1576992,0.758,0.02,0.063,0.55,50000,1732.5,90100.0,False,Performing
199,500000,AA,5,8.19,Corporate,1498806,0.665,0.166,0.002,0.25,500000,250.0,629000.0,False,Performing
200,500000,A,2,9.83,Real Estate,1942483,0.621,0.176,0.007,0.35,500000,1225.0,689000.0,False,Performing
201,250000,BB,7,16.75,Corporate,573848,0.619,0.126,0.063,0.55,250000,8662.5,450500.0,False,Performing
202,100000,B,5,21.47,Real Estate,730857,0.894,0.163,0.152,0.65,100000,9880.0,225800.0,True,Weak rating with high leverage / repayment pressure
203,1000000,BBB,10,12.35,MSME,567330,0.784,0.21,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
204,1000000,AA,2,9.9,MSME,630135,0.658,0.75,0.002,0.25,1000000,500.0,1258000.0,False,Performing
205,500000,AAA,3,8.56,Corporate,2428782,0.505,0.305,0.001,0.2,500000,100.0,602000.0,False,Performing
206,1000000,AA,5,8.33,MSME,1012700,0.752,0.283,0.002,0.25,1000000,500.0,1258000.0,False,Performing
207,1000000,AA,5,8.54,MSME,970441,0.624,0.376,0.002,0.25,1000000,500.0,1258000.0,False,Performing
208,500000,BBB,3,14.33,Retail,2400086,0.934,0.11,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
209,250000,AA,5,8.05,Retail,1167598,0.673,0.173,0.002,0.25,250000,125.0,314500.0,False,Performing
210,500000,BBB,5,12.44,MSME,2229789,0.791,0.173,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
211,1000000,BBB,5,14.47,Retail,693714,0.645,0.552,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
212,500000,BBB,3,12.48,MSME,1043012,0.619,0.251,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
213,50000,AA,5,10.15,Retail,842721,0.574,0.145,0.002,0.25,50000,25.0,62900.0,False,Performing
214,1000000,BB,5,15.79,MSME,1648884,0.745,0.222,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
215,1000000,BB,7,16.46,Corporate,1064291,0.717,0.226,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
216,250000,BB,5,17.58,MSME,1833767,0.75,0.13,0.063,0.55,250000,8662.5,450500.0,False,Performing
217,1000000,AA,5,8.44,Corporate,1557105,0.549,0.229,0.002,0.25,1000000,500.0,1258000.0,False,Performing
218,500000,AA,1,9.08,Retail,460938,0.514,0.75,0.002,0.25,500000,250.0,629000.0,False,Performing
219,1000000,B,2,20.63,Retail,965239,0.878,0.641,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
220,1000000,A,3,9.67,Corporate,554081,0.57,0.667,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
221,50000,A,5,12.86,Real Estate,1650497,0.627,0.096,0.007,0.35,50000,122.5,68900.0,False,Performing
222,1000000,BBB,7,13.52,Corporate,1759362,0.598,0.287,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
223,250000,BBB,10,12.34,Corporate,1868456,0.703,0.118,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
224,1000000,B,5,19.64,Corporate,1047624,0.841,0.345,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
225,1000000,A,5,12.06,Corporate,523867,0.553,0.488,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
226,1000000,B,5,19.54,Corporate,1270411,0.831,0.306,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
227,1000000,AAA,3,7.54,Corporate,1899534,0.492,0.277,0.001,0.2,1000000,200.0,1204000.0,False,Performing
228,1000000,BBB,5,13.77,Retail,1146908,0.658,0.155,0.022,0.45,1000000,9899.999999999998,1538000.0,False,Performing
229,250000,BBB,3,11.61,Retail,1339810,0.659,0.171,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
230,250000,AA,5,9.09,MSME,476720,0.601,0.165,0.002,0.25,250000,125.0,314500.0,False,Performing
